"run","experiment","AUC_val","AUC_train","nr_params","avg_epoch_time","nr_flops","training_time_min","date","duration","model_config.train_data_file","tags","train_loss","val_loss","model_config.batch_size","model_config.dim_embedding_tissue","model_config.dim_embedding_token","model_config.dropout","model_config.epochs","model_config.gpu_id","model_config.model","model_config.num_workers","model_config.optimizer.lr","hash","checkpoint_stored","early_stopping","training_successful","model_config.binary_class","model_config.dev","model_config.early_stopper_patience","model_config.frequency_features","model_config.optimizer.weight_decay","model_config.tissue_id","val_neg_auc","model_config.num_layers","model_config.predictor_dropout","model_config.predictor_hidden_dim","train_neg_auc","experiment_description","GPU Memory (%)","GPU Power (W)","GPU Temperature (°C)","GPU (%)","Accuracy_train","Accuracy_val","F1_train","F1_val","Precision_train","Precision_val","Recall_train","Recall_val","CPU (%)","Disk (%)","Memory (%)","Process Memory (%)","best_epoch","model_config.align_aug","model_config.concat_tissue_feature","model_config.concat_train_val","model_config.efficient_masking_epochs","model_config.evaluate_on_test","model_config.grad_clip_norm","model_config.lr_scheduler.enable","model_config.masked_tokens","model_config.max_seq_length","model_config.max_seq_length_aug_alignment","model_config.max_utr_5_len","model_config.mixed_precision","model_config.nr_folds","model_config.nucleotide_data","model_config.optuna.n_startup_trials","model_config.optuna.n_trials","model_config.optuna.study_name","model_config.scale_targets","model_config.seq_encoding","model_config.seq_only","model_config.test_data_file","model_config.val_data_file"
"Run: 0163aaa98f844cbab63d7434","binary/ptrnet/31_ptrnet_freq","0.68598397","0.71945254","272033","0.40403333","13556666368","13.3331","11:45:21 · 10 Jun, 25","26min 44sec","""train_9.0k_data.pkl""","[object Object]","0.58463816","0.64577881","64","32","32","0","200","1","""ptrnet""","1","0.00046","0163aaa98f844cbab63d7434","1","1","1","True","False","8","True","0.00068","-1","-0.67404662","6","0","32","-0.77792637","-","2.811584","34.836","26","0","0.66209586","0.63901911","0.65748534","0.63157895","0.66580579","0.64317841","0.64937028","0.62039046","97.1","6.4","6.903275","0.798575","33","True","False","True","0","True","0.15","True","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: 815bb151db0c439c872455f8","pretrain/ptrnet/14_ptrnet_freq","-","-","74327","67.9043","27718760448","67.9043","10:26:01 · 10 Jun, 25","1hrs 9min","""train_9.0k_data.pkl""","[object Object], [object Object]","1.05934344","-","64","32","32","0","60","1","""ptrnet""","1","0.00046","815bb151db0c439c872455f8","1","-","1","False","False","8","True","0.00068","-1","-","6","0","32","-","-","2.811584","34.796","25","0","-","-","-","-","-","-","-","-","100.2","6.4","10.885806","3.956725","1","True","False","True","0","True","0.15","False","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: 8d0b651a26384dd9baf90115","binary/ptrnet/30_ptrnet_freq","0.68392869","0.72148586","272033","0.40588333","13556666368","21.9177","00:33:41 · 10 Jun, 25","34min 29sec","""train_9.0k_data.pkl""","[object Object]","0.59687925","0.65104989","64","32","32","0","200","0","""ptrnet""","1","0.00046","8d0b651a26384dd9baf90115","1","1","1","True","False","8","True","0.00068","-1","-0.66743135","6","0","32","-0.75941434","-","8.240204","168.58","45","88","0.66241037","0.63324919","0.6624316","0.61809989","0.66164091","0.64296875","0.66322418","0.59508315","99.4","6.4","6.520821","0.792151","54","True","False","True","0","True","0.15","True","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","True","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: 36e27b83c3db4e4e9d58f5b3","binary/ptrnet/29_ptrnet_freq","0.68674553","0.71558985","611905","0.46045745","53644118016","21.6415","00:05:25 · 10 Jun, 25","32min 47sec","""train_9.0k_data.pkl""","[object Object]","0.54333036","0.64621923","64","32","32","0","200","1","""ptrnet""","1","0.00046","36e27b83c3db4e4e9d58f5b3","1","1","1","True","False","8","True","0.00068","-1","-0.67520457","6","0","32","-0.82328638","-","8.240204","85.495","41","88","0.66096364","0.63252795","0.65426555","0.60117417","0.66666667","0.6552901","0.64231738","0.55531453","142.8","6.4","7.271153","0.797339","47","True","True","True","0","True","0.15","True","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: 2c0dbcfb19fa418bbb2240dc","binary/ptrnet/28_ptrnet_freq","0.67996119","0.70356534","508399","0.78427647","39687928320","13.3327","23:42:25 · 09 Jun, 25","47min 42sec","""train_9.0k_data.pkl""","[object Object]","0.58755666","0.65449821","64","32","32","0","200","0","""ptrnet""","1","0.00046","2c0dbcfb19fa418bbb2240dc","1","1","1","True","False","8","True","0.00068","-1","-0.66798795","6","0","32","-0.76574692","-","11.658173","53.333","41","29","0.64945276","0.63324919","0.64176898","0.62402957","0.65537613","0.63842663","0.62871537","0.61026753","81.4","6.4","12.064132","5.258691","17","True","False","True","0","True","0.15","True","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""ohe""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: e940d23f7477445c85c54b2e","binary/ptrnet/27_ptrnet_freq","0.67980306","0.75427224","192609","0.2735359","8947148800","10.6679","23:35:11 · 09 Jun, 25","20min 13sec","""train_9.0k_data.pkl""","[object Object]","0.52370105","0.65040944","64","32","32","0","200","1","""ptrnet""","1","0.00046","e940d23f7477445c85c54b2e","1","1","1","True","False","8","True","0.00068","-1","-0.66656315","6","0","32","-0.88994574","-","11.658173","81.508","41","31","0.69342056","0.63505229","0.6917141","0.62876009","0.69479034","0.6381236","0.68866499","0.61966739","142.4","6.4","11.87257","0.795932","39","False","False","True","0","True","0.15","True","0.2","9000","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: 76de08b7ba6e4a5880844a80","binary/ptrnet/44_ptrnet","0.68407747","0.71370151","269857","0.39609394","13556514816","13.0711","23:11:24 · 09 Jun, 25","26min 47sec","""train_9.0k_data.pkl""","[object Object]","0.57564391","0.64899172","64","32","32","0","200","0","""ptrnet""","1","0.00046","76de08b7ba6e4a5880844a80","1","1","1","True","False","8","False","0.00068","-1","-0.67096813","6","0","32","-0.78451329","-","7.717743","79.728","44","84","0.6582589","0.63288857","0.65379469","0.6348637","0.66167935","0.62989324","0.64609572","0.63991323","99.4","6.4","7.311206","0.791978","33","True","False","True","0","True","0.15","True","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
"Run: 5fbdb940ed7646a7b8f5b7f4","binary/ptrnet/26_ptrnet_freq","0.68499404","0.72131195","272033","0.40030769","13556666368","15.612","23:02:02 · 09 Jun, 25","27min 38sec","""train_9.0k_data.pkl""","[object Object]","0.58440267","0.64855929","64","32","32","0","100","1","""ptrnet""","1","0.00046","5fbdb940ed7646a7b8f5b7f4","1","1","1","True","False","8","True","0.00068","-1","-0.67291208","6","0","32","-0.78193939","-","7.717743","142.021","44","87","0.66108945","0.63469167","0.66143019","0.62852952","0.66002007","0.63764881","0.66284635","0.61966739","110.8","6.4","7.30054","0.794616","39","True","False","True","0","True","0.15","True","0.2","13637","13637","4695","True","1","True","40","400","""final_1""","False","""embedding""","False","""test_9.0k_data.pkl""","""val_9.0k_data.pkl"""
